model,accuracy,precision,recall,f1_score,roc_auc
logistic_regression,0.8069552874378992,0.6583850931677019,0.5668449197860963,0.6091954022988506,0.841778397788628
random_forest,0.7998580553584103,0.6654676258992805,0.4946524064171123,0.5674846625766872,0.8441977317936398
